,m,R,|R|
179,45,F₃ × F₄₃,129
180,,F₉ × F₃₇,333
181,,F₂₇ × F₁₉,513
182,,F₅ × F₄₁,205
183,,F₁₇ × F₂₉,493
184,,F₂₃ × F₂₃,529
185,46,F₂ × F₂ × F₂ × F₂ × F₃,48
186,,F₂ × F₃ × F₃ × F₃,54
187,,F₂ × F₃ × F₁₁,66
188,,F₂ × F₅ × F₇,70
189,,F₄ × F₄₃,172
190,,F₁₆ × F₃₁,496
191,47,F₁₆ × F₃₂,512
192,,F₃₂ × F₁₆,512
193,,F₅ × F₄₃,215
194,,F₂₅ × F₂₃,575
195,,F₇ × F₄₁,287
196,,F₁₁ × F₃₇,407
197,,F₁₇ × F₃₁,527
198,,F₁₉ × F₂₉,551
199,48,F₂ × F₄ × F₉,72
200,,F₂ × F₄₇,94
201,,F₄ × F₂ × F₉,72
202,,F₄ × F₃ × F₇,84
203,,F₈ × F₄₁,328
204,,F₃₂ × F₁₇,544
205,49,F₂ × F₂ × F₁₆,64
206,,F₂ × F₁₆ × F₂,64
207,,F₁₆ × F₂ × F₂,64
208,,F₃ × F₃ × F₉,81
209,,F₃ × F₉ × F₃,81
210,,F₃ × F₄₇,141
211,,F₉ × F₃ × F₃,81
212,,F₉ × F₄₁,369
213,,F₂₇ × F₂₃,621
214,,F₂₅ × F₂₅,625
215,,F₇ × F₄₃,301
216,,F₁₃ × F₃₇,481
217,,F₁₉ × F₃₁,589
218,50,F₂ × F₂ × F₂ × F₇,56
219,,F₂ × F₄₉,98
220,,F₄ × F₄₇,188
221,,F₈ × F₄₃,344
222,,F₃₂ × F₁₉,608
223,51,F₃ × F₄₉,147
224,,F₉ × F₄₃,387
225,,F₂₇ × F₂₅,675
226,,F₅ × F₄₇,235
227,,F₁₁ × F₄₁,451
228,,F₂₃ × F₂₉,667
229,52,F₂ × F₂ × F₃ × F₅,60
230,,F₂ × F₂ × F₁₇,68
231,,F₂ × F₈ × F₅,80
232,,F₄ × F₅ × F₅,100
233,,F₄ × F₄₉,196
234,,F₈ × F₂ × F₅,80
235,,F₁₆ × F₃₇,592
236,53,F₂₇ × F₂₇,729
237,,F₅ × F₄₉,245
238,,F₂₅ × F₂₉,725
239,,F₇ × F₄₇,329
240,,F₁₁ × F₄₃,473
241,,F₁₃ × F₄₁,533
242,,F₁₇ × F₃₇,629
243,,F₂₃ × F₃₁,713
244,54,F₂ × F₃ × F₁₃,78
245,,F₂ × F₅₃,106
246,,F₄ × F₈ × F₃,96
247,,F₈ × F₄ × F₃,96
248,,F₈ × F₄₇,376
249,,F₃₂ × F₂₃,736
250,55,F₂ × F₂ × F₄ × F₄,64
251,,F₂ × F₄ × F₂ × F₄,64
252,,F₂ × F₄ × F₄ × F₂,64
253,,F₄ × F₂ × F₂ × F₄,64
254,,F₄ × F₂ × F₄ × F₂,64
255,,F₄ × F₄ × F₂ × F₂,64
256,,F₃ × F₅₃,159
257,,F₉ × F₄₇,423
258,,F₂₇ × F₂₉,783
259,,F₂₅ × F₃₁,775
260,,F₇ × F₄₉,343
261,,F₄₉ × F₇,343
262,,F₁₃ × F₄₃,559
263,,F₁₉ × F₃₇,703
264,56,F₄ × F₅₃,212
265,,F₈ × F₄₉,392
266,,F₁₆ × F₄₁,656
267,,F₃₂ × F₂₅,800
268,57,F₂ × F₂ × F₂ × F₈,64
269,,F₂ × F₂ × F₈ × F₂,64
270,,F₂ × F₈ × F₂ × F₂,64
271,,F₈ × F₂ × F₂ × F₂,64
272,,F₃ × F₅ × F₇,105
273,,F₉ × F₄₉,441
274,,F₂₇ × F₃₁,837
275,,F₅ × F₅₃,265
276,,F₁₁ × F₄₇,517
277,,F₁₇ × F₄₁,697
278,,F₂₉ × F₂₉,841
279,58,F₂ × F₂ × F₁₉,76
280,,F₂ × F₄ × F₁₁,88
281,,F₂ × F₉ × F₅,90
282,,F₄ × F₂ × F₁₁,88
283,,F₄ × F₄ × F₇,112
284,,F₁₆ × F₄₃,688
285,,F₃₂ × F₂₇,864
286,59,F₃ × F₃ × F₁₁,99
287,,F₇ × F₅₃,371
288,,F₄₉ × F₁₁,539
289,,F₁₃ × F₄₇,611
290,,F₁₇ × F₄₃,731
291,,F₁₉ × F₄₁,779
292,,F₂₃ × F₃₇,851
293,,F₂₉ × F₃₁,899
294,60,F₂ × F₄ × F₃ × F₃,72
295,,F₂ × F₅₉,118
296,,F₄ × F₂ × F₃ × F₃,72
297,,F₄ × F₃ × F₉,108
298,,F₄ × F₉ × F₃,108
299,,F₈ × F₅₃,424
300,,F₃₂ × F₂₉,928
301,61,F₂ × F₂ × F₂ × F₂ × F₄,64
302,,F₂ × F₂ × F₂ × F₄ × F₂,64
303,,F₂ × F₂ × F₄ × F₂ × F₂,64
304,,F₂ × F₄ × F₂ × F₂ × F₂,64
305,,F₄ × F₂ × F₂ × F₂ × F₂,64
306,,F₃ × F₅₉,177
307,,F₉ × F₅₃,477
308,,F₅ × F₅ × F₅,125
309,,F₂₅ × F₃₇,925
310,,F₄₉ × F₁₃,637
311,,F₁₉ × F₄₃,817
312,,F₃₁ × F₃₁,961
313,62,F₂ × F₇ × F₇,98
314,,F₂ × F₆₁,122
315,,F₄ × F₅₉,236
316,,F₁₆ × F₄₇,752
317,,F₃₂ × F₃₁,992
318,63,F₂ × F₂ × F₂ × F₂ × F₂ × F₂,64
319,,F₃₂ × F₃₂,1024
320,,F₃ × F₆₁,183
321,,F₂₇ × F₃₇,999
322,,F₅ × F₅₉,295
323,,F₁₁ × F₅₃,583
324,,F₁₇ × F₄₇,799
325,,F₂₃ × F₄₁,943
326,64,F₂ × F₂ × F₂ × F₉,72
327,,F₄ × F₆₁,244
